"code","name"
"BMvaOzvVvpIta","Investeringen tweedehands aangeschaft onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpIie","Investeringen in eigen beheer vervaardigd onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpAdo","Aankopen door overnames onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpDes","Desinvesteringen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpDda","Desinvesteringen door afstotingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpOmv","Omrekeningsverschillen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpOve","Overboekingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvVvpOvm","Overige mutaties onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCae","Cumulatieve afschrijvingen en waardeverminderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCaeBeg","Beginbalans onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCaeAfs","Afschrijvingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCaeDca","Desinvestering cumulatieve afschrijvingen en waardeverminderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCaeWvr","Waardeverminderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCaeTvw","Terugneming van waardeverminderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCuh","Cumulatieve herwaarderingen onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCuhBeg","Beginbalans onroerende zaken verkocht onder voorwaarden"
"BMvaOzvCuhHer","Herwaarderingen onroerende zaken verkocht onder voorwaarden"
